a	b	cor	markers
12_CC002	714C_T790M	0.11218820648715286	21
12_CC002	715A_T790M	0.039796750209865187	21
12_CC002	715B_T790M	0.015531629668678538	18
12_CC002	716_T790M	0.04127514046633108	21
12_CC002	717_T790M	0.06601175106183224	21
12_CC002	T10_WGS00C	-0.0641736316999699	24
12_CC002	T16_WGS00C	-0.3268285602151015	23
12_CC002	T5_WGS00D	-0.022817679233259527	25
12_CC002	T18_WGS00E	-0.030564898808798025	23
12_CC002	T25_WGS00E	0.33123155611839544	24
15_CC002	5_CC005	-0.29872521627770426	19
15_CC002	8_CC005	-0.24995496185797209	22
15_CC002	707_T790M	-0.2126861883097399	20
15_CC002	708_T790M	-7.367092160266731e-5	20
15_CC002	709_T790M	-0.1226572615923168	20
15_CC002	710_T790M	0.3881665957721478	19
15_CC002	713_T790M	0.012419702465387397	20
15_CC002	714A_T790M	0.45322287116077076	20
15_CC002	714B_T790M	0.48499078437121174	20
15_CC002	714C_T790M	0.18674419790039282	20
15_CC002	715A_T790M	0.4858825369296994	20
15_CC002	715B_T790M	0.4752608855357897	17
15_CC002	716_T790M	0.457746300555104	20
15_CC002	717_T790M	0.3285375014510566	20
15_CC002	T10_WGS00C	8.547399753306095e-4	23
15_CC002	T16_WGS00C	-0.3328697630116813	23
15_CC002	T5_WGS00D	0.036804258076859706	24
15_CC002	T18_WGS00E	0.08844092361808481	23
15_CC002	T25_WGS00E	0.0797148792867747	23
5_CC005	707_T790M	-0.040609639889153025	22
5_CC005	708_T790M	-0.15445502170161962	22
5_CC005	709_T790M	-0.03921522796066583	22
5_CC005	710_T790M	-0.2536598317397786	21
5_CC005	713_T790M	-0.11544979193451667	22
5_CC005	714A_T790M	-0.25392586143253093	22
5_CC005	714B_T790M	-0.35067487299131034	22
5_CC005	714C_T790M	-0.09980604066556367	22
5_CC005	715A_T790M	-0.30536806766043917	22
5_CC005	715B_T790M	-0.4091295934039161	20
5_CC005	716_T790M	-0.4663003080479984	22
5_CC005	717_T790M	-0.18793369042257055	22
5_CC005	T10_WGS00C	-0.0338811733401139	21
5_CC005	T16_WGS00C	-0.3600647783067614	20
5_CC005	T5_WGS00D	0.19973991193348514	19
5_CC005	T18_WGS00E	-0.3095355278618185	23
5_CC005	T25_WGS00E	-0.12401731769707365	24
8_CC005	707_T790M	0.1460258762927637	24
8_CC005	708_T790M	0.10369599056207633	24
8_CC005	709_T790M	0.21401616511402258	24
8_CC005	710_T790M	-0.3196853574572704	23
8_CC005	713_T790M	0.008159565357314597	24
8_CC005	714A_T790M	-0.1965258292798003	24
8_CC005	714B_T790M	-0.10597950031241218	24
8_CC005	714C_T790M	0.3647887451088786	24
8_CC005	715A_T790M	-0.43177322051052947	24
8_CC005	715B_T790M	-0.15671045477308376	21
8_CC005	716_T790M	-0.21268021685439806	24
8_CC005	717_T790M	-0.015905074376804537	24
8_CC005	T10_WGS00C	-0.0220879480227454	24
8_CC005	T16_WGS00C	-0.2132011997260795	23
8_CC005	T5_WGS00D	0.16148807684154598	22
8_CC005	T18_WGS00E	0.07521264652910842	26
8_CC005	T25_WGS00E	0.20815226413023752	27
707_T790M	T10_WGS00C	-0.012438064787466282	22
707_T790M	T16_WGS00C	-0.07579285042669025	21
707_T790M	T5_WGS00D	-0.0847385376717102	20
707_T790M	T18_WGS00E	-0.1161826587085909	24
707_T790M	T25_WGS00E	0.3301461959981419	25
708_T790M	T10_WGS00C	0.0035608268171922765	22
708_T790M	T16_WGS00C	0.030470966321218942	21
708_T790M	T5_WGS00D	-0.08721993137721579	20
708_T790M	T18_WGS00E	0.053652359633074534	24
708_T790M	T25_WGS00E	0.1815333426349829	25
709_T790M	T10_WGS00C	-0.0014690599197833376	22
709_T790M	T16_WGS00C	-0.02980669071235051	21
709_T790M	T5_WGS00D	-0.028871561460036166	20
709_T790M	T18_WGS00E	-0.08868695870465067	24
709_T790M	T25_WGS00E	0.21466261752018279	25
710_T790M	T10_WGS00C	0.0113072055159946	21
710_T790M	T16_WGS00C	0.10554274571721603	20
710_T790M	T5_WGS00D	0.15699301897389528	20
710_T790M	T18_WGS00E	0.5548961280785146	23
710_T790M	T25_WGS00E	-0.4669390207478838	24
713_T790M	T10_WGS00C	0.0027063489796499843	22
713_T790M	T16_WGS00C	0.022337966523913778	21
713_T790M	T5_WGS00D	-0.11010378712277548	20
713_T790M	T18_WGS00E	-0.006202563502902591	24
713_T790M	T25_WGS00E	0.07346837991252525	25
714A_T790M	T10_WGS00C	-0.23103680553237485	22
714A_T790M	T16_WGS00C	0.04809007787250486	21
714A_T790M	T5_WGS00D	-0.031358554217567204	20
714A_T790M	T18_WGS00E	0.42427249751828083	24
714A_T790M	T25_WGS00E	-0.23924991870711157	25
714B_T790M	T10_WGS00C	-0.23747063340624652	22
714B_T790M	T16_WGS00C	0.09454229630677342	21
714B_T790M	T5_WGS00D	-0.062273306719981374	20
714B_T790M	T18_WGS00E	0.5909227951250642	24
714B_T790M	T25_WGS00E	-0.25976272621144236	25
714C_T790M	T10_WGS00C	-0.5075764909357748	22
714C_T790M	T16_WGS00C	-0.23888026046166289	21
714C_T790M	T5_WGS00D	0.06541136315694482	20
714C_T790M	T18_WGS00E	0.48744104726730764	24
714C_T790M	T25_WGS00E	0.03636439587577455	25
715A_T790M	T10_WGS00C	-0.29900296049247077	22
715A_T790M	T16_WGS00C	0.004269345898740864	21
715A_T790M	T5_WGS00D	-0.13622263934977819	20
715A_T790M	T18_WGS00E	0.38959842844212234	24
715A_T790M	T25_WGS00E	-0.11423369431016359	25
715B_T790M	T10_WGS00C	-0.31225618746350736	20
715B_T790M	T16_WGS00C	0.10305392999154657	19
715B_T790M	T5_WGS00D	-0.07779410427879946	18
715B_T790M	T18_WGS00E	0.5642129046335334	20
715B_T790M	T25_WGS00E	-0.20961688109477114	21
716_T790M	T10_WGS00C	-0.19214446785108555	22
716_T790M	T16_WGS00C	0.10002491935750854	21
716_T790M	T5_WGS00D	-0.028655011604433973	20
716_T790M	T18_WGS00E	0.6360223850415493	24
716_T790M	T25_WGS00E	-0.23150485696894252	25
717_T790M	T10_WGS00C	-0.4272859443771694	22
717_T790M	T16_WGS00C	-0.11978037320463013	21
717_T790M	T5_WGS00D	-0.03163370188186786	20
717_T790M	T18_WGS00E	0.3510719076240384	24
717_T790M	T25_WGS00E	-0.04925077190464299	25
T10_WGS00C	T5_WGS00D	0.2235594293804509	26
T10_WGS00C	T18_WGS00E	-0.08261309406485155	24
T10_WGS00C	T25_WGS00E	-0.13596180122781384	25
T16_WGS00C	T5_WGS00D	-0.08561004342044778	25
T16_WGS00C	T18_WGS00E	0.2578100238653837	24
T16_WGS00C	T25_WGS00E	-0.26298799807813694	24
T5_WGS00D	T18_WGS00E	-0.09894699042465167	22
T5_WGS00D	T25_WGS00E	-0.15488721193197957	23
